azonosító	évfolyam	krditszám
nisCHW	6	29
kumjO8	6	13
9hrhEj	2	12
C4Lq15	4	22
57WyOQ	3	16
lu8ZK2	4	17
XKsFbv	1	27
vBA76z	2	29
20yrgk	2	24
kgoyL1	5	21
RSP11q	4	24
qroq5o	6	17
eGbtr6	6	3
z1o7Of	2	13
7y3h40	6	18
C11J0w	5	9
7t7lH6	5	16
r7460u	6	16
5Vj0Xw	2	17
hMS1R3	3	21
6IU9w1	1	16
0Sovgu	3	21
nvkULU	6	32
8O6D5W	2	22
5th2Pb	1	26
PG7N54	5	10
P66l0U	6	7
58OZK7	1	14
zJfeHa	1	30
9ToQWt	1	10
B5DGDg	3	23
N99BI5	2	32
Rv1LT6	2	0
4X98b3	2	16
P8tv9i	6	1
4SEJd5	1	1
u187vM	1	5
4bhgj0	5	13
0j7gyL	5	10
4NXQD8	6	31
cbUIc5	1	3
g8fB1K	6	25
H3T6tv	5	22
nX48Ir	5	4
176P4K	3	9
gohU34	4	19
Ulw9L8	1	9
Rcn996	5	19
3gHfs6	5	30
hGlEC7	4	19
I0WjJM	2	2
Af4vB6	2	30
CszXRJ	4	12
ynPdtj	3	28
fJ45AF	5	9
y5fvVU	4	1
gNHDs5	3	15
grb4Yh	4	2
4nfCrM	3	26
0hikdg	6	31
LM77x2	4	10
01RpM0	1	16
Rwauwq	3	6
b6zfIo	5	13
yp7553	6	23
m5eyKl	3	23
qFBcdm	6	23
4Gi5F0	2	30
qBrmzF	5	5
q5fo58	4	12
J84ltc	5	17
lstO9B	3	22
44h9yq	5	9
dpq0Zs	3	0
Fze1M2	2	19
6cFE12	2	31
K125pm	1	21
DxGgHr	2	29
nj8h0i	2	2
RPOKPf	6	3
NMwCud	6	10
j6zx1w	1	22
3moghF	5	29
VyFUud	1	4
1sG52U	2	21
y23RU1	5	10
XQHQG3	1	13
31C44F	1	10
s04ydt	1	31
R115gd	4	3
pNL7LH	6	5
B59762	5	2
n0lL8t	6	26
86K66l	4	22
6hjnHC	2	16
1X2c3E	6	1
gDQcw3	1	26
WIM7mW	4	13
aHG9XH	6	10
31PmjS	3	22
5526jK	3	26
h85NAa	1	2
2Sxnuv	4	22
o0SUzb	2	24
3fWx13	3	20
j3PY0G	3	20
iy0nwc	2	28
55x5Lw	5	29
w6Ce4d	2	8
AJ6dj3	4	30
22sI7X	6	29
m0OXza	3	25
cc3ZED	6	10
n0Jc21	2	2
9q14yf	6	0
0vpp14	3	26
2Bd196	2	1
5YQtbr	6	29
cb6KC7	6	29
X89mh3	5	8
RLtgre	1	19
GFo51s	3	16
DTYK22	1	16
i4L46K	4	21
2b036H	2	2
1rp5q2	6	26
TU3q22	2	6
9uIV9K	1	2
KhgOaE	1	12
PAxh3C	1	16
AF17a0	6	2
H6e16L	3	26
3UhE21	2	11
xWG3u0	1	28
mkuxK9	2	7
axupl3	1	16
72k4hj	5	21
FvsImP	5	20
2C1Tdf	1	11
984K3u	2	31
934U80	4	29
61lgg9	2	24
icGQ8B	5	15
5LJIO0	4	1
TxM44D	1	9
8BkfjA	4	8
5Y4uj2	4	31
8Tkjk5	6	18
AzK0oR	3	13
9LUm73	3	16
O0e0I0	1	5
93MHMb	2	27
pbJ85a	6	22
b063z8	1	8
878zc7	6	6
YyObQf	2	3
90J7Kh	4	11
6u6oKe	3	8
Otn6L9	6	18
6s1v5Y	6	32
rRW7VT	5	22
MZ8MvX	6	29
w5XaWh	6	29
h1G5U6	2	32
X1FbqD	4	16
81F4LZ	1	28
Nm9wtf	3	23
Y5pjUd	2	8
09d8a9	4	17
C6b05Q	3	8
KTkSrc	3	9
nowzr3	6	25
sYkjab	4	13
132699	1	21
Qj4Xal	3	19
t176W7	1	4
N73k7K	2	22
V0338v	6	8
4sakTO	2	3
TUlv52	4	9
2p2rjR	3	20
O4nIII	4	11
pBXN4N	3	10
09hWD4	4	18
fCctOR	6	17
Hi7ZF0	1	17
GKuLaL	6	24
4dskoB	2	15
87Xs53	4	31
oXf933	6	9
2uZXiF	3	9
M7OdVF	5	0
mcoF81	4	23
T3cZBL	4	13
8Akc4A	4	6
rEb3PB	1	0
WgAzIC	4	32
5v6ZV9	4	30
2LhfZ0	5	2
2213Ph	5	32
Wcady5	3	27
WRyOHL	1	2
Ev01YZ	2	14
345B7x	3	21
4ir3I9	3	16
iF0BH6	2	22
Z06Pfv	3	27
NuFji3	2	11
qTWQNY	5	10
eP73qV	4	18
4hV39F	6	21
cjW134	2	20
vH4x42	6	18
AU6fLl	1	9
geD90H	6	30
hQ6JxS	5	24
5l96lS	6	23
XNHLC2	4	28
ud4vy1	3	0
xdh3Q2	4	11
WOgelp	3	8
C10YIF	3	15
0Ru1OS	1	10
Eu2H90	4	29
39sbMM	1	22
433Bq3	1	25
n350cr	6	30
eZ69p7	2	22
2c4ua4	5	3
K88PE9	3	7
gE8kSq	2	2
Q2j0fg	3	22
J9Pq68	4	29
BpEO2B	5	15
AxJ7b7	3	12
0WD234	3	10
7A7Exy	3	0
6VPSGl	6	5
R2fIrI	4	9
tUb8tE	4	30
D0DAyV	6	9
7apFux	2	17
vq87A6	6	31
9EyLpF	4	32
fQ58na	4	14
TwmSqX	6	1
eh84EQ	1	21
268SoI	2	24
85kC6d	6	9
98C9Xk	6	11
WpeG47	5	12
tcqs4o	4	12
3Ma175	4	2
5OVM4k	2	1
X51tZZ	1	12
lH6BI3	4	22
8U4Z7b	6	18
R63U18	1	28
930ATp	1	30
83T3nf	1	3
XYw2NI	3	13
QX5494	5	1
pTQ41n	2	6
aERC7H	6	18
Ml754C	2	14
vpsHFS	1	2
w8R8jA	4	23
D2Rl15	5	16
zmG1f0	5	1
YPn3U3	2	29
7dqCFu	6	17
06L7Ix	1	30
M3BTyk	6	8
Ve5Ehf	6	21
7pVMv4	3	25
fQQ4rp	3	5
lDu5m3	3	0
ld1uc5	5	31
4b9L1X	1	8
6V54G2	4	31
uB4j0R	3	20
MYN1Wp	1	28
jJWaj4	4	5
mB2Iqo	4	21
VTkQ17	3	23
